id,question,answerKey,choice_0,choice_1,choice_2,choice_3
Mercury_7137060,Which would most likely be the characteristic of an object with a small volume and large mass?,0,high density,low pressure,low viscosity,high temperature
Mercury_7077543,Which of these describes a small range in the electromagnetic spectrum?,3,gravity,radiation,electricity,light
Mercury_7064155,An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a,1,hypothesis.,theory.,law.,fact.
Mercury_182420,Natural selection cannot occur without,2,competition for unlimited resources.,gradual warming of Earth.,genetic variation in species.,asexual reproduction in species.
Mercury_190278,In which of these investigations would pictures from a camera be most useful?,2,studying bird calls,studying exothermic reactions,studying the growth of plants,studying the diffusion of molecules
Mercury_7032900,"Of the examples listed, which event is thought by scientists to have led to the greatest extinction?",2,a volcano in Hawaii erupting,the construction of the Hoover Dam,"whalers of the 17th, 18th, and 19th centuries",the Mississippi River flooding its banks each summer
Mercury_7030643,The human stomach is protected from self-digestion by a layer of,1,bile.,mucus.,muscle.,white blood cells.
NYSEDREGENTS_2016_4_29,"On a field trip, a student holds a frog and reports that it has slippery skin. This is an example of",3,a measurement,a prediction,an explanation,an observation
Mercury_7008278,What most likely happens to soil when crops are not rotated from year to year?,0,The soil nutrients are depleted.,The soil fertility increases.,The soil becomes more porous.,The soil erodes less rapidly.
Mercury_192238,Materials must pass through a cell's semi-permeable membrane in order for energy to be utilized. This process is called,0,diffusion.,oxidation.,respiration.,reproduction.
NYSEDREGENTS_2016_4_8,What is a decomposer?,0,a living thing that breaks down dead organisms,a living thing that makes its own food,an animal that eats live plants,an animal that hunts other animals
Mercury_7171658,Modern technology has had some positive and negative effects on society. Which would be a negative effect of advances in technology?,0,human jobs replaced by more efficient machines,decrease in production of solid waste,use of alternate sources of energy,reduction in habitat destruction
Mercury_7240783,Which of the following allows a cell to become specialized?,2,location of the cell in the body,function of the cell in the body,different patterns of gene expression,different combinations of genes in the nucleus
Mercury_SC_401145,Which tool would be best to use for counting the number of legs on an ant?,1,ruler,hand lens,calculator,microscope
Mercury_SC_415368,A dragonfly develops through incomplete metamorphosis. Which stages does the dragonfly's life cycle include?,1,egg and larva,egg and nymph,larva and pupa,larva and nymph
Mercury_7182980,"When a cold front moves over a land region that has warm, moist air, a transfer of energy occurs. Cold air sinks and pushes warmer air upward. As energy is removed from the air, which change will most likely take place?",3,Ozone in the atmosphere will decrease.,Less ultraviolet radiation will reach the land.,More water will be absorbed from the area lakes.,Water in the atmosphere will undergo a phase change.
NYSEDREGENTS_2005_8_29,Which sequence lists the levels of organization in the human body from simplest to most complex?,3,organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system
NYSEDREGENTS_2011_8_21,Cancer is best described as,2,a type of genetic engineering,the merging of sex cells,abnormal cell division,tissue that stops growing
Mercury_7263533,"To pump blood through the body, the heart must overcome the force of gravity. Which body position would require the least work from the heart?",3,sitting,standing,kneeling,lying down
Mercury_7112718,"In order to grow two of the exact same plants, a person would reproduce them asexually because the",1,genetic diversity is greater.,offspring would be genetically identical.,recessive traits would emerge.,negative traits are suppressed.
Mercury_183855,"In flowering plants, what structure containing DNA is transported from one plant to another?",3,nectar,chlorophyll,glucose,pollen
MCAS_2007_8_5181,"Several interchangeable parts are used in the manufacture of automobiles. Some examples of these parts are batteries, windshield wiper blades, spark plugs, and tires. Which of the following is an advantage of interchangeable parts over non-interchangeable parts on automobiles?",3,Interchangeable parts are generally more expensive than custom-made parts for automobiles.,Interchangeable parts break more often now than in years past on most automobiles.,Interchangeable parts are plentiful for custom-made automobiles.,Interchangeable parts can fit many kinds of automobiles.
CSZ_2007_5_CSZ20560,Which of the following represents a chemical reaction?,3,a sugar cube dissolving in water.,ice cubes forming in a freezer.,ice cream melting in a bowl.,a cake baking in an oven.
Mercury_7017203,"When a hammer strikes a nail, the nail",3,exerts balanced forces that helps it from moving.,exerts a force equal to the weight of the hammer.,exerts an unbalanced force that changes its velocity.,exerts an equal and opposite force back on the hammer.
Mercury_SC_400385,Which of these natural events occurs at time intervals that are the most regular?,1,drought and flooding,high tides and low tides,clear skies and cloudy skies,hot weather and cool weather
Mercury_SC_407308,A student combined rice cereal with melted marshmallows. Which best describes what the student made?,1,an atom,a mixture,a molecule,an element
Mercury_7097300,"Brittany pedaled her bicycle quickly on a level surface. When she stopped pedaling and coasted, the bicycle slowed and came to a stop. What happened to the energy of the moving bicycle as it coasted to a stop?",0,It was transferred to heat due to friction.,It was reabsorbed into Brittany's muscles.,It was stored in the bicycle wheels as potential energy.,It was transferred to the air in the form of visible light.
MDSA_2009_5_26,"Homes that are built to be environmentally friendly because they use energy more efficiently than other homes are called ""green"" homes. ""Green"" homes often have reflective roofs and walls made of recycled materials. The windows in these energy-saving homes are double-paned, meaning each window has two pieces of glass. Double-paned windows have a layer of air between the window panes. This layer is a barrier against extreme temperatures and saves energy. A solar panel on a ""green"" home uses",2,chemical energy,mechanical energy,a renewable energy source,a nonrenewable energy source
NYSEDREGENTS_2016_4_16,Which process occurs when rocks and soil slide down a mountain?,0,erosion,migration,recycling,maintenance
VASoL_2009_3_5,Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?,3,Stopwatch,Thermometer,Measuring cup,Magnifying glass
ACTAAP_2009_5_10,Which is a physical property of an apple?,0,what color it is,how pretty it is,how much it costs,when it was picked
Mercury_7211698,Repeated pesticide use on an insect population can result in some of the insects becoming resistant to that pesticide over time. Which process is responsible for the pesticides no longer being effective on the insects?,1,divergent evolution,natural selection,bottleneck effect,selective breeding
NYSEDREGENTS_2009_8_10,A boy pulls a sweater off over his head. His hair is attracted to the sweater due to,3,a magnetic force,a heat transfer,a chemical change,an electrical charge
Mercury_7215635,"In some communities, forests are cleared through burning, and the deforested land is used for farming. Which of these is a negative consequence of this practice?",0,decreased plant and animal diversity,increased availability of soil nutrients,greater access to water for plants and animals,less sunlight reaching the ground
Mercury_7239540,Some plant cells are coated in a waxy layer that prevents water loss. This specialization is found in which plant cells?,2,internal stem cells,internal root cells,cells on the plant surface,cells in the plant reproductive system
Mercury_7214655,Scientists recorded the hourly temperature at a weather station for the month of July and want to quickly measure a trend over time in temperature changes. Which of these formats would be the most appropriate representation of the temperature data to quickly measure any trend?,1,bar graph,line graph,pie chart,data table
Mercury_7168840,A factory in Japan had been dumping mercury into Minamata Bay. Certain microorganisms in the water were able to change the mercury into a form that the plankton could use. Which most likely happened next?,1,The organisms built up a resistance to the mercury.,The mercury passed through the food chain.,The plankton made the mercury safe.,The fish would not eat the plankton.
Mercury_7159548,"Students conducted an investigation with green bananas. They hypothesized that an onion placed near a banana could increase the rate at which the banana ripened. They placed one onion and one banana in each of three containers. In a fourth container they placed a banana, but no onion. Which statement best explains why the onion was left out of the fourth container?",1,The onion would contaminate the fourth trial.,The container without the onion is the control.,Three containers with onions are enough to conduct the test.,The container without the onion is the independent variable.
Mercury_SC_405505,"When cold weather freezes water in the cracks of rocks, which would most likely happen?",3,The rocks would become rounded.,The rocks would be used for shelter.,The rocks would be moved by the wind.,The rocks would break into smaller pieces.
Mercury_7041073,What would best regulate the temperature of an overheated body?,2,a decrease in sweating,a decrease in the breathing rate,a dilation of blood vessels in the skin,an increase in heart rate
MDSA_2009_8_33,The surface of Earth is constantly changing. Which of these findings provides the best evidence that the crustal surface of Earth has changed over time?,2,Some rock layers are very thick.,Some species have become extinct.,Marine fossils are found in mountain areas.,Igneous rock is found on all tectonic plates.
MEA_2016_8_6,Solar radiation is a combination of light with different wavelengths. Which type of ray can harm human skin the most?,2,infrared,microwave,ultraviolet,visible
Mercury_SC_405529,Water is often put through a treatment system before it is used in homes as drinking water. Which is the most likely reason water is treated before people drink it?,0,to remove harmful substances,to add color,to increase its supply,to decrease its temperature
Mercury_SC_407290,How can plants most likely improve air quality?,1,by absorbing nutrients,by producing oxygen,by producing sugar,by absorbing water
Mercury_7138268,"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?",1,There would be a decrease in soil thickness.,There would be a decline in fruit production.,There would be an increase in plant diseases.,There would be an increase in insect pest populations.
Mercury_7058083,How are animals that prey on other animals classified?,1,herbivores,carnivores,autotrophs,decomposers
TAKS_2009_5_9,Which process will separate the sugar from a mixture of sugar and water?,1,Stirring the mixture,Evaporating the water,Adding more water,Adding more sugar
Mercury_7235830,Which movement of carbon between reservoirs takes the longest to achieve?,1,from burning coal to the atmosphere,from plant tissues to coal in the crust,from the atmosphere to the sugars in plants,from the respiration of fish to the ocean waters
ACTAAP_2011_5_17,Which types of objects are most easily seen by the human eye?,0,objects that reflect most of the light that strikes them,objects that refract most of the light that strikes them,objects that diffract most of the light that strikes them,objects that absorb most of the light that strikes them
Mercury_7001645,Planting legumes in order to add nitrogen to soil most likely causes,1,a decrease in the amount of acid rain.,an enrichment in the fertility of the soil.,an increase in the ratio of nitrogen to oxygen in the system.,a reduction in the soil's ability to manufacture its own nitrogen.
Mercury_410595,Earth is about 81 times more massive than the Moon. How will the mass and weight of a rocket on the Moon compare to its mass and weight on Earth?,2,The mass and weight will be less on the Moon.,The mass and weight will be greater on the Moon.,"The mass will be the same, but its weight will be less on the Moon.","The mass will be the same, but its weight will be greater on the Moon."
Mercury_186393,"Louis Pasteur discovered a process that allows milk to be stored in sealed containers for long periods of time without spoiling. The process, called pasteurization, involves heating the milk before placing it in the sealed containers.Which is the best explanation of how pasteurization works?",2,Heat strengthens molecules that prevent spoiling.,The chemical structure of the food changes with the heat.,Heat killed microorganisms that could cause spoiling.,The food particles are better mixed after heating.
Mercury_SC_401299,Which characteristic would best help a land animal survive in a cold Arctic climate?,0,thick fur,large ears,smooth feet,slender body
Mercury_SC_400165,What is the most reasonable explanation for why a toy car rolls farther on a wood floor than on a thick carpet?,2,The car weighs more on the carpet.,The car weighs more on the floor.,The carpet has more resistance.,The floor has more traction.
Mercury_SC_401824,What part of the scientific method involves measuring the growth of a plant over a one-month period?,1,analysis,observation,conclusion,hypothesis
Mercury_SC_400294,Which statement on a toothpaste package best supports the claim of fighting cavities?,3,delivers great new flavor,patented triple cleansing action,guaranteed to make teeth sparkle,certified by the American Dental Association
Mercury_7082723,Which is a chemical compound?,2,aluminum,carbonated water,sodium chloride,carbon-14
VASoL_2011_5_23,Which of these human activities in a forest has a positive effect on the ecosystem?,1,Clearing the land to build new homes,Planting new trees where old ones were cut down,Building a new highway through the area,Cutting down trees to make farmland
NAEP_2005_4_S13+9,Which is an example of water condensing?,3,A puddle disappearing on a hot summer afternoon,Sweat forming on your forehead after you do a lot of exercise,Ice cubes melting when you put them out in the sun,Dew forming on plants during a cold night
Mercury_7004445,"Gregor Mendel studied ratios related to traits passed from parent pea plants to offspring pea plants. Mendel used large numbers of plants to avoid ""sampling error."" This changed the way scientists studied genetics because it included ideas of",3,nuclei and DNA.,atoms and molecules.,ecology and environment.,mathematics and probability.
Mercury_7040898,What season is the Northern Hemisphere experiencing when it is tilted directly toward the Sun?,3,fall,winter,spring,summer
TIMSS_1995_8_J2,Which species have been on the Earth for the shortest amount of time?,0,Humans,Insects,Fish,Reptiles
Mercury_7014578,Which tool should be used to compare the growth of an algal colony growing in a petri dish?,2,a scale,a ruler,a hand lens,a balance scale
MDSA_2007_8_5,"Use The Periodic Table of the Elements and the information below to answer the question. Magnesium metal (Mg) is grayish-white in color and reacts actively with water. Fluorine (F2) is a greenish-yellow gas at room temperature and is a member of the halogen family. These two elements react to produce magnesium fluoride (MgF2), a chemical commonly used in making windows and lenses. How do the elements magnesium (Mg) and fluorine (F2) produce the compound magnesium fluoride (MgF2)?",3,by nuclear connection,by physically combining,by magnetic connection,by chemically combining
Mercury_7159233,Male barn swallow birds with symmetrically-shaped wings find mates more quickly than males with asymmetrical wing shapes. Which statement best explains the significance of symmetry in the barn swallow population?,0,Symmetrical wings are attractive to females.,Symmetrical wings indicate genetic mutations.,Symmetrical wings indicate that males are good predators.,Symmetrical wings are signs that a bird is very aggressive.
Mercury_7011253,Which of the following would be most useful for calculating the density of a rock sample?,1,microscope and balance,graduated cylinder and balance,microscope and graduated cylinder,beaker and graduated cylinder
AKDE&ED_2008_4_16,Which object in our solar system reflects light and is a satellite that orbits around one planet?,3,Earth,Mercury,the Sun,the Moon
Mercury_SC_408396,"Students stir salt, sand, sawdust, and seashells into a jar filled with water. Which of the materials will form a solution?",0,salt and water,sand and sawdust,seashells and water,sawdust and seashells
Mercury_7236565,Which scale is used to report the intensity of an earthquake?,1,Saffir-Simpson Scale,Modified Mercalli Scale,Richter Magnitude Scale,Moment Magnitude Scale
NYSEDREGENTS_2009_8_27,What is the outermost structure in a plant cell?,2,cell membrane,cytoplasm,cell wall,chloroplast
Mercury_SC_409237,The main source of food for a coyote population in one area is mice. Which is most likely to happen to these coyotes if a new predator begins eating the mice?,0,There will be fewer coyotes.,The coyotes will produce more young.,More coyotes will arrive from other locations.,Each coyote will spend less time hunting food.
Mercury_7056630,The best example of heat transfer by convection is when,3,sunlight warms soil.,a ceiling fan blows air.,flames heat up a pan.,heat rises in a chimney.
Mercury_7119770,A worker needs to load a heavy box onto a truck. The worker uses a ramp to move the box because the ramp,3,increases the weight of the box.,reduces the gravitational force on the box.,increases the amount of friction on the box.,reduces the amount of force applied to the box.
NYSEDREGENTS_2011_4_23,A fox grows thicker fur as a season changes. This adaptation helps the fox to,1,find food,keep warmer,grow stronger,escape from predators
Mercury_417698,What is the main source of raw material for the production of plastics?,2,clay,plants,petroleum,sand
MCAS_2010_5_5,The students in an engineering class built a robot that stacks wooden blocks. A built-in computer controls the movement of the robot. The computer in the robot performs a function most similar to which part of the human body?,2,lungs,heart,brain,arms
Mercury_7092050,"When sugar is heated on a hot plate, it turns into a liquid. When the liquid sugar is cooled, a hard-crystalline substance is formed. This model best demonstrates the formation of",1,molten rocks.,igneous rocks.,sedimentary rocks.,metamorphic rocks.
Mercury_7026670,Which distance is the smallest for which it is most practical to use the light-year as a unit of measurement?,3,the distance between Earth and its Moon,the distance between Jupiter and the Sun,the distance between the Milky Way and the nearest galaxy,the distance between the Sun and the center of the Milky Way
MCAS_2006_9_19,Which of the following devices relies on electromagnetic radiation in the radio wave region of the spectrum for operation?,2,sun tanning lamp,electric light bulb,cellular telephone,electric toaster
Mercury_7228743,"When a tree suffers from a decreased ability to transport materials within the phloem, what is directly impacted?",1,volume of water in the xylem,flow of necessary nutrients,response to environmental factors,rate of photosynthesis in leaves
Mercury_7009415,"Strontium, barium, and radium are grouped together on the Periodic Table of the Elements because they all have",1,a bright silver and white coloring.,similar electron configurations.,strong radioactive properties.,few or no stable isotopes.
NYSEDREGENTS_2005_4_15,An example of a poor health habit is,3,taking a bath or shower regularly,handwashing after using the bathroom,playing on a soccer team,eating candy instead of lunch
Mercury_183050,What type of inheritance controls blood types in humans?,2,incomplete dominance,polygenic inheritance,multiple alleles,recessive genes
Mercury_7085540,"Minerals can be identified using hardness, streak, and cleavage because",3,minerals are inorganic.,crystal structure is too hard to determine.,crystal size is determined by the environment.,minerals have different recognizable properties.
Mercury_7044258,What is the process that produces energy in the Sun for billions of years?,1,fission,fusion,solar winds,solar radiation
Mercury_7068793,Which statement is an opinion?,1,Chemistry and Physics are major branches of science.,Life Science is a subject filled with interesting information.,Geology and Oceanography are subjects in Earth Science.,Biology is a science that studies complex organisms.
Mercury_403253,Decomposers are organisms that obtain their food from dead organisms. Which of these would be classified as decomposers?,3,"algae, plants","snakes, wolves, whales","deer, rabbits, mice","bacteria, fungi"
Mercury_7174790,DNA molecules contain the genetic information that determines the characteristics of a living organism. How do DNA molecules express the genetic information they contain?,1,by breaking down proteins within the cell,by directing the process of protein synthesis,by regulating the storage of cellular proteins,by controlling the movement of protein molecules
TIMSS_2003_8_pg17,Fossil fuels were formed from,1,volcanoes,the remains of living things,gases in the atmosphere,water trapped inside rocks
Mercury_189700,Which of the following remains constant in Earth's carbon cycle?,0,the total mass of available carbon,the way organisms use carbon,the physical state of carbon-containing molecules,the molecule in which a particular carbon atom is found
AIMS_2008_4_9,Which invention has technology that helps people keep food fresh for a long period of time?,1,dishwasher,refrigerator,electric mixer,microwave oven
Mercury_7184660,A student is designing a model of the solar system and writing a report. She is trying to be as accurate as possible. Which statement should she include in her report?,3,The distance between the Sun and Earth is measured in light years.,Jupiter and Uranus are considered to be terrestrial planets.,The asteroid belt is located between Jupiter and Saturn.,The orbit of Mars is similar to the orbit of Saturn.
Mercury_SC_408356,"Stacey picks apples and puts them in a basket. When she puts her basket on a scale, the scale reads two kilograms (kg). What property is Stacey measuring?",1,height,weight,temperature,volume
Mercury_SC_401184,Which feature is a physical property of copper?,1,insulates heat,conducts electricity,strong magnetic force,liquid at room temperature
Mercury_SC_415490,Which term describes Earth's orbit around the Sun?,1,day,revolution,month,rotation
Mercury_SC_400011,How do the waxy stem covering and needle-shaped leaves improve the ability of a cactus to survive in the desert?,2,They make the plant appetizing to small desert animals.,They prevent the loss of oxygen through photosynthesis.,They reduce the loss of water from the plant to the air.,They provide the storage space for different types of minerals.
Mercury_7216405,Which characteristic of a cell membrane allows it to control materials entering and leaving a cell?,1,A cell membrane is surrounded by fluid.,A cell membrane is semipermeable.,A cell membrane holds organelles in place.,A cell membrane is found in plant and animal cells.
Mercury_7074883,Which statement about all living organisms is true?,3,They have limbs.,They produce their own food.,They breathe air.,They have at least one cell.
AKDE&ED_2008_4_14,The length of daylight changes as the seasons change during the year. What causes these changes in daylight?,0,Earth's tilt on its axis,the Sun's tilt on its axis,Earth spinning on its axis,the Sun spinning on its axis
Mercury_7011200,The populations of black rhinoceroses have been impacted by human interactions to the point of being endangered. Which interaction best explains why the black rhino is now endangered?,0,over hunting,water pollution,airborne diseases,increased deforestation
Mercury_SC_405714,"A student had a cup of ice while working outside. After a while, the ice melted because the Sun emits energy in the form of light and",1,electricity.,heat.,magnetism.,sound.
Mercury_7227868,What characteristic of viruses distinguishes them from cells?,2,They do not have hereditary material.,They are not separated from their environments.,They lack an independent metabolism.,Their traits do not evolve in response to selection pressures.
Mercury_182595,The energy required to lift an object is supplied by ATP derived from the breakdown of molecules of,3,glutamate.,glycerol.,glycolysis.,glucose.
Mercury_7194390,Living cells synthesize long chains of amino acids called proteins. Which substance provides the information needed to correctly sequence the amino acids during protein synthesis?,3,ATP,mRNA,tRNA,DNA
Mercury_7251090,Which of these makes it possible for hurricanes to form?,3,water depth,water clarity,water salinity,water temperature
Mercury_SC_400527,Most types of cacti survive the dry conditions of a desert because they hold water in their stems. This is an example of,2,a niche.,a species.,an adaptation.,an ecosystem.
Mercury_7217858,High-altitude cirrus clouds are primarily formed from which substance?,1,carbon dioxide gas,solid ice crystals,nitrogen compounds,ozone molecules
AKDE&ED_2012_8_28,During a lab investigation a scientist heats a solid substance. The scientist observes that the solid has two different melting points. The scientist is able to separate the two resulting liquids. Which statement best classifies the original solid substance?,1,It was an atom.,It was a mixture.,It was an element.,It was a compound.
LEAP_2002_8_10388,"Over a long period of time, some flowering plants have become dependent on honey bees to fertilize their seeds. In recent years, a form of mite has infected and killed the honey bees in many areas of the country. Since this has happened, the once bee-dependent plants with the best chance of surviving are those that",2,grow taller so that the few remaining honey bees will find them.,change their flowers so that wind will fertilize them.,have always attracted many other insects as well as honey bees.,have seeds that stay alive for a long time in the environment.
Mercury_SC_413080,Which landforms are most like hills but are much taller?,1,caves,mountains,plains,valleys
MEA_2016_8_17,What is the basic unit of life?,1,atom,cell,element,nucleus
MCAS_2004_8_29,About how many Earth days does it take the Moon to travel around Earth?,1,1,27,180,365
Mercury_7214690,Students studying the atmosphere want to display the percentage of each greenhouse gas as compared to the total amount of greenhouse gases found in the atmosphere. Which representation would be most appropriate for displaying these percentages?,2,bar graph,line graph,pie chart,data table
Mercury_7234325,The Himalayan Mountain chain is the youngest and tallest mountain chain on Earth. Which phenomenon contributed most to this area of continental buildup?,2,erosion of surrounding continental materials,eruptions of continental shield volcanoes,convergence of continental plates,subsidence of continental landmass
ACTAAP_2010_7_4,"A large cold front is moving past the school on a hot, humid summer day. Which best describes the type of weather as the cold front passes by?",3,A drought,A monsoon,A hurricane,A thunderstorm
NYSEDREGENTS_2005_8_41,Growth and repair in multicellular organisms are the result of,2,excretion,locomotion,cell division,decomposition
NYSEDREGENTS_2004_4_22,A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because,3,heat energy can be transferred from one object to another,mechanical energy can be transferred from one object to another,sound energy can be reflected from one object to another,light energy can be reflected from one object to another
VASoL_2007_3_31,"If a wooded area is cleared and corn is planted, what will MOST likely happen?",0,Animal habitats will be destroyed.,The air will become polluted.,Weather patterns will change.,Underground streams will get polluted.
Mercury_7186970,"Warm water contains less dissolved oxygen than colder water. Which population will be most affected by a long period of hot, dry days?",0,fish in ponds,fish in oceans,plants in lakes,plants in streams
MCAS_2004_8_31,Which of the following is most responsible for the decay of dead organisms?,2,water,mammals,microorganisms,nitrogen
Mercury_SC_402266,"When a book is dropped onto a wooden desk, the molecules in the wood begin to vibrate from the force of the book. Which of these is produced by the vibrations?",2,friction,interference,sound waves,ultrasonic waves
Mercury_7123288,"In 1976, the Viking I Lander was sent to Mars to analyze atmospheric gases and soil samples. The Viking I Lander was most likely a",0,space probe.,space shuttle.,lunar module.,natural satellite.
NYSEDREGENTS_2006_8_12,Which action forms a different chemical substance?,1,crushing a rock,burning a piece of wood,mixing salt and pepper,melting an ice cube
NCEOGA_2013_5_58,Why do dogs have most of the characteristics of their parents?,0,They inherit them from their parents.,They live in the same habitats as their parents.,They learn them by observing their parents.,They eat the same foods as their parents.
Mercury_SC_401362,Which describes a specific characteristic necessary for survival in the desert?,0,conserving water,hiding from predators,hibernating for long periods,producing many offspring
NYSEDREGENTS_2004_4_14,Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things,0,go through a life cycle,form a food web,act as a source of food,affect other parts of the ecosystem
Mercury_404985,Quartz and feldspar are two common minerals. When they are found mixed together in nature they form,0,rocks.,magma.,soil deposits.,organic material.
Mercury_7264058,Atoms of which of these elements are part of many organic molecules?,2,calcium,magnesium,oxygen,silicon
NYSEDREGENTS_2006_4_9,Which object is the best conductor of electricity?,0,metal fork,rubber boot,plastic spoon,wooden bat
Mercury_7032655,An element with which property would be best to use in electrical wiring?,1,insulator,conductor,malleable,porous
MSA_2013_5_12,A large rock breaks into small pieces within 10 years. Which process is most likely responsible for breaking the large rock into small pieces within 10 years?,3,steady winds blowing throughout the years,gentle rain falling during each spring and fall,lack of rain falling during a four-year drought,water repeatedly freezing and thawing in a crack
Mercury_SC_407787,Paco throws a ball. What force pulls the ball down toward the ground?,1,friction,gravity,inertia,momentum
Mercury_SC_401289,Which is a unit of measure for length?,0,meters,degrees,milliliters,atmospheres
NYSEDREGENTS_2005_8_5,Movement of Earth's crust along plate boundaries produces,3,fronts,tides,hurricanes,earthquakes
Mercury_7107958,The praying mantis is well camouflaged in its natural habitat. What is a benefit of this adaptation?,1,It increases the mutation rate of favorable genes.,It reduces the risk of being eaten by a predator.,It allows absorption of chlorophyll from plants.,It improves the chances of finding a mate.
Mercury_7212415,"The Greek philosopher Aristotle described matter with the phrase ""unable to be divided."" The modern concept that grew from Aristotle's idea is the",0,atom.,proton.,neutron.,electron.
MSA_2015_5_39,"Paleontologists often find and study the remains of ancient plants and animals. When the remains of ancient plants and animals are covered by layers of sediment over time, the remains",2,melt,dissolve,become a fossil,evaporate into vapor
MCAS_2006_8_2,What are the basic structural units of living organisms?,0,cells,nuclei,organs,tissues
Mercury_7086135,A student is visiting a local limestone quarry and finds fossils of seashells. The quarry is located hundreds of miles from the ocean. The fossils best indicate that,0,this area was once below sea level.,global temperature changed over time.,erosion took place after a flood.,volcanic activity affected the area.
NCEOGA_2013_5_47,What happens to metal railroad tracks during the heat of a summer day?,3,decrease in weight,increase in weight,decrease in length,increase in length
Mercury_7191590,"Jake is testing how light affects plant growth. He grows two plants in identical pots with the same amount of water and fertilizer. Jake grows one of the plants in the sun, and the other in the shade. Which part of Jake's process indicates that there is a control for this investigation?",2,He is growing plants in identical pots.,He is using the same amount of water.,He is growing one plant out of the sun.,He is using the same amount of fertilizer.
Mercury_SC_400043,Which stage of a frog's life cycle can be compared to a plant seed growing into a new plant?,1,when frog eggs are laid in water,when frog eggs hatch into tadpoles,when tadpoles live in water and breathe with gills,when frogs use lungs for breathing out of water
Mercury_7264075,Which of these elements is likely to be found in an organic compound?,1,helium,hydrogen,mercury,tin
Mercury_7249498,What statement describes what happens to the carbon dioxide waste produced by a developing baby during pregnancy?,0,It is carried by the umbilical cord to the placenta and then to the mother's blood.,It is released from the fetus by its breathing and then is absorbed by the placenta.,It is released through the fetal urine and then exits through the umbilical cord.,It is carried through shared blood vessels and then to the mother's lungs.
Mercury_7082775,Which part of the atom has a negative charge?,2,neutron,nucleus,electron,proton
Mercury_SC_415347,Which is a learned behavior?,2,A dog uses its tongue to drink.,A robin holds a branch with its feet.,A chimpanzee digs for termites with a stick.,A worm moves to the top of flooded ground.
Mercury_406774,Organisms that reproduce asexually generally have offspring that are,3,unicellular.,multicellular.,genetically varied.,genetically identical.
TAKS_2009_5_39,Crows are found throughout many parts of the world. They are black birds with excellent hearing. In the wild they live for six to seven years. Some crows in Japan open hard-shelled nuts by dropping them in front of moving cars. Which of these is a learned behavior?,2,Having excellent hearing,Living six to seven years,Dropping nuts in front of cars,Having black feathers
Mercury_SC_401625,Which object would best help a student determine if a block of an unknown material is magnetic?,1,wooden ruler,paper clip,glass marble,magnifying glass
OHAT_2007_5_23,About how much of Earth's surface is covered by oceans?,2,less than 20%,about 50%,about 70%,more than 90%
NYSEDREGENTS_2011_8_42,Sound will not travel in a,3,solid,liquid,gas,vacuum
Mercury_SC_407452,What supplies most of the energy that plants need to make food?,3,rain,wind,minerals,sunlight
MCAS_2015_5_13,Which of the following is the main role of flowers found on most flowering plants?,1,to take in air,to produce seeds,to absorb nutrients,to protect the stem
ACTAAP_2007_7_6,Which adaptation will warn predators not to eat an animal?,0,bright colors,bulging eyes,geometric shapes,poisonous secretions
Mercury_7115343,The cones of a jack pine tree require great amounts of heat to release their seeds. When are jack pine tree seeds most likely released?,1,during a flood,after a fire,during a drought,after a disease
Mercury_SC_LBS10764,"When a thin slice from an onion is viewed through a microscope, lots of little box-like shapes are seen. These shapes are most likely",2,atoms.,dust.,cells.,bubbles.
Mercury_7038710,Which is an example of substances reacting chemically?,0,iron and oxygen forming rust,paper being cut into small pieces,chocolate melting in a pan,flour and sugar mixed together in a bowl
NYSEDREGENTS_2007_4_8,"An object's hardness, taste, and texture are examples of",2,principles,stages,properties,processes
MDSA_2011_4_33,Some objects conduct electricity. Which object is the best conductor of electricity?,0,a metal fork,a wood spoon,a plastic comb,a rubber eraser
Mercury_182210,"Which of the following eras is known as the ""Age of Mammals""?",3,Precambrian,Paleozoic,Mesozoic,Cenozoic
AKDE&ED_2008_4_27,"In Alaska, there are fewer hours of daylight in the winter than in the summer. Which statement best explains why this difference occurs?",3,The Sun burns hotter in the summer.,The Sun moves below the horizon in the summer.,The Northern Hemisphere is closer to the Sun in the winter.,The Northern Hemisphere is tilted away from the Sun in the winter.
NYSEDREGENTS_2011_8_30,Most of Earth's major earthquakes are caused by,3,seasonal heating and cooling of Earth's surface,weathering of rock at Earth's surface,Earth's gravitational attraction to the Moon,faulting of rock in Earth's crust
Mercury_177083,A girl with long hair is going to be participating in an experiment that uses an alcohol burner for an energy source. What is the best thing for her to do to prepare for this experiment?,2,leave her large jacket in her locker for the day,use goggles during the experiment,tie her hair back away from her face,wear a lab apron during the experiment
